特征一实部,特征一虚部,特征二,特征三,特征四四部,特征四虚部
16065,-12926,720,5,-9411,-4168
6579,5260,828,4,14700,-221
19636,23812,843,13,-3993,2254
7759,22174,829,4,2642,16962
21424,-11108,717,11,-1242,-13541
16545,-2600,732,4,482,18346
8823,12674,707,4,9719,20817
-4951,5904,747,11,-3556,15662
13481,22583,846,6,8396,19056
9090,14940,843,6,11922,6064
27996,12202,720,2,-5516,-5346
14828,21981,730,9,15743,22561
27265,14269,713,0,9507,-13826
10379,20163,731,7,11558,21567
25231,-2620,839,2,-2459,1145
22252,20114,849,4,21999,20014
14462,25969,840,7,-9243,1477
-3254,9223,743,5,-785,18132
16249,3214,831,0,8271,16593
14381,21322,743,10,16104,22524
29259,4396,744,3,-10528,4366
18009,-2421,832,0,3290,17865
9660,3967,714,14,9660,3967
10063,17273,741,6,12387,21527
2796,-10542,731,7,-9455,5719
17233,1103,742,3,4511,18977
26190,-1278,729,8,-7832,14682
7903,22877,840,4,1789,17532
-433,17424,736,14,-1546,13909
8579,17701,827,6,8225,8337
25769,6837,748,3,3848,5255
17271,24140,849,11,3204,19446
5131,-13721,745,11,-8738,-2270
17025,22725,833,7,9506,17257
18018,-1397,710,10,-1353,12658
16377,25394,842,14,-2588,-8952
9018,18151,830,6,8071,9071
26801,1684,732,1,-2551,19964
17136,24476,837,7,3498,20963
1790,19834,707,13,-635,10017
-2708,3102,744,5,-3071,14530
-6023,17035,829,10,2232,-11680
15665,21464,834,8,14263,20739
5746,7963,715,6,6501,20729
27301,6710,731,1,-4002,9183
17710,23053,848,5,9429,19597
6419,18227,845,1,8327,20534
28724,6498,729,1,-9708,8566
16433,20138,746,12,16433,20138
7196,21237,837,10,1911,10924
18538,17743,733,8,17772,19023
1336,7866,728,5,1878,17574
12436,22097,731,5,13867,22893
24636,5739,721,10,7628,685
11873,20250,849,6,8310,13489
28904,4599,710,10,3799,-14115
28652,7973,717,3,-3612,-7523
27119,-140,735,4,-8199,872
17211,19107,828,3,17211,19107
8526,14243,722,6,10315,21072
8007,14304,824,1,8581,16899
27692,5618,722,1,-6934,10847
17138,23722,828,12,4814,16832
-1908,21998,704,15,-7272,3612
12675,25634,834,7,-701,-5076
15486,19314,734,9,15679,20082
28297,3373,707,10,-25,-10977
5405,13724,824,3,5405,13724
11203,21205,718,7,12310,22193
14023,-13483,723,5,-10570,-1345
20239,731,709,4,-694,11115
16587,22458,824,5,10950,18016
15733,24311,844,7,584,11492
12559,-13316,725,5,-10506,320
28150,10842,726,2,-8138,7003
9791,24027,839,8,5793,22524
-6708,-7763,723,14,-6708,-7763
25973,8966,724,3,6638,1685
11182,20109,830,5,13709,4366
20149,-3360,744,10,-2949,11284
26732,12605,704,0,-956,-181
-3697,15881,845,8,-5604,1517
21842,2684,742,6,4807,4921
15380,22218,733,11,16034,22570
22785,-3561,729,6,-6302,10503
22663,-582,709,8,-4391,12680
20147,23116,846,12,12878,23688
13475,21946,737,14,13088,21579
2744,-5863,740,9,-5621,10060
27566,12903,708,2,2385,-10989
28442,12396,739,2,-2613,-10983
4117,21794,838,6,-1665,3865
13232,25227,835,7,-1167,-1722
18969,23794,826,13,208,11952
24398,1768,723,10,-1116,3212
8321,-12780,721,7,-8713,-875
-4630,14859,725,11,1080,22523
-9245,12204,742,14,-9391,4316
-968,22377,832,10,-6934,-2606
10213,19412,824,8,8581,16899
12524,2901,730,4,5275,18720
20201,20001,829,2,20894,20468
2605,15993,733,13,4985,4843
20364,19245,836,10,19992,18713
17358,24310,849,12,-1840,10549
21625,20783,829,9,20713,20481
22010,20645,832,11,21154,20318
27606,3261,711,4,-4320,-4545
4403,11687,735,6,7923,21697
14736,-6952,730,6,-2584,18672
28287,4670,704,10,4784,-12314
15561,22034,842,6,12181,20033
7205,22729,707,13,3747,18773
17628,25063,824,15,12810,-13929
-6477,16790,712,13,-3130,-5135
-6176,9182,744,9,-847,21013
1173,22687,841,6,-4811,-3159
13778,-7721,723,5,-3246,708
24731,-111,715,8,-6151,11003
25239,7650,745,0,5117,19548
15661,-171,738,9,6143,2741
27345,14200,706,0,9362,-15009
-8675,17429,718,13,-4021,-9535
23144,-2104,734,4,-5097,9186
17225,23065,848,9,9429,19597
16932,23078,747,15,15418,22556
13808,20883,824,6,11029,17637
-138,13284,715,14,-138,13284
14542,24321,829,11,1165,12566
28308,11749,741,0,-9005,6034
15135,597,739,9,6390,3834
22421,-797,831,2,2679,4968
9997,20924,714,9,11803,22563
14048,1327,717,4,2990,17215
29225,5979,734,3,-7501,-4574
-6768,10248,732,12,-5522,15645
26861,8165,736,0,1578,19602
8904,19823,703,9,10530,21984
27505,13975,710,0,5265,-14769
1407,14878,739,7,3004,18524
10075,19630,726,10,13305,22839
8874,-14454,746,5,-9328,-2684
-105,15679,739,11,2420,20272
6339,13777,840,6,11580,2490
11712,21253,722,11,12812,22253
23976,5431,725,3,1985,11136
16922,-314,730,8,2225,18307
5049,23738,848,10,-5276,8703
-1535,22505,831,6,-4929,-7296
-9401,14510,710,13,-398,-10219
27795,12870,718,0,-8110,-3815
8312,15340,719,3,12432,22685
18093,17819,721,4,17346,18941
28065,8227,728,2,-3754,18737
19226,-4932,706,4,-4782,16067
13065,11194,734,0,13776,22230
1280,16132,740,7,3536,19776
-3596,-2378,711,14,-3596,-2378
-1668,-930,734,9,-3715,14383
9366,-2889,848,0,7853,22725
19199,-9938,705,11,-316,-10431
28503,3693,710,6,2929,-12690
12166,22700,844,4,8104,20379
8471,23951,733,15,2855,19099
-4669,6323,736,11,-3224,15338
8686,26467,826,11,8683,-13648
20175,18467,841,1,20293,18695
3129,22277,731,15,-2476,9129
7522,16061,707,4,10857,22329
2200,19901,731,13,-415,8066
16706,2634,710,7,10468,3431
19976,1116,741,6,2619,7747
24132,-5229,837,2,-5951,5597
25376,3704,711,4,-3,252
-4348,3388,715,12,-5684,8972
-4992,2494,706,11,-4782,16067
5149,19052,734,12,5149,19052
14381,-821,708,6,170,14384
14409,-8535,734,10,-4205,17265
5699,10245,838,8,8239,4064
1118,21876,717,15,-3781,7163
6123,-13270,729,12,-3082,-9977
19085,3500,741,2,9050,22281
20770,21238,824,5,19144,20764
14480,-1708,712,7,5302,633
22784,5897,704,1,2251,12161
29615,5809,737,3,-9765,-4134
25492,89,705,4,-7425,4346
13355,22522,844,7,10113,2865
24227,1991,704,10,-300,532
19395,23841,839,13,-2937,3310
10811,19753,728,9,12389,21746
28407,11918,729,2,-10235,-2346
14157,21010,734,4,15873,22433
-1816,23132,728,13,-10107,5339
8636,-10291,705,12,1510,-8748
-4773,4613,826,8,3618,-7824
25568,1484,726,8,-5223,9264
5441,-1880,712,5,-2348,9576
8970,-13789,728,7,-9602,-1232
13733,19110,709,7,13909,19930
-2814,7963,721,7,-1294,17950
2485,9841,747,14,3941,6444
23119,1978,711,8,-1901,9404
13245,25578,839,5,-5846,2406
6645,-15388,729,11,-12630,3423
13206,19553,840,3,13206,19553
-450,23170,713,13,-8227,10234
15919,-6400,714,4,-2493,19415
15393,24090,831,12,2679,4968
27626,683,735,8,-9250,3485
29295,6052,746,1,-10537,6253
26437,6369,709,8,3766,-3231
19338,-1495,730,8,2,17694
28332,437,737,4,-9301,-2633
-1537,-7178,746,5,-8345,9051
25971,5214,707,1,-3406,10792
6485,23167,843,10,-2311,11604
26910,5089,706,8,-865,-3453
25044,6566,834,0,13129,4827
5354,-12342,706,14,5354,-12342
19582,-1123,712,6,-1895,9871
1553,21488,841,10,-3515,793
26864,1528,714,8,-8618,5575
2651,18805,713,15,2384,6799
28810,4070,720,4,-5310,-8823
26660,13264,710,0,3312,-2870
20424,19959,832,2,21084,20405
27429,-379,731,4,-10523,8142
12795,6029,747,3,9206,20384
17988,8637,723,1,9155,16874
28616,3531,716,4,-6039,-7757
15354,22433,741,7,15724,22616
19022,17493,737,1,17992,18883
23218,6260,742,2,6311,19194
16780,-3197,734,4,-1070,15756
26405,5070,732,3,-2469,9678
7876,24009,829,6,-1538,14903
3579,16477,834,4,2928,5451
25294,7239,724,8,6638,1685
-1592,19329,826,6,874,-6219
17132,23079,844,5,8186,18260
4921,18722,726,7,7218,21649
10605,20299,733,7,11798,21643
27018,-1832,706,5,15848,-12512
21958,20226,832,10,21678,20066
21412,21024,832,7,19762,20644
13309,22295,845,6,8349,18437
27198,-2400,739,10,-9661,-407
-4021,-9535,718,14,-4021,-9535
27680,13319,718,2,5859,-13071
11701,9317,723,1,10474,21124
26169,-2247,743,4,-9030,7771
-1781,-1352,734,11,-5097,9186
28395,7863,705,8,8668,-12775
15603,65,836,0,6521,18381
14398,-9309,727,6,-3541,19636
28084,2853,729,8,-9501,3688
26781,11605,720,2,840,2854
12404,21984,715,7,13259,22613
19370,16916,829,0,19568,18667
16740,21553,843,8,15433,21046
18356,21739,831,7,13994,18580
20816,-64,717,4,-1594,12202
26559,6214,740,1,-1127,7458
13718,1329,845,1,9903,3057
22925,3391,738,6,6143,2741
28604,4485,730,3,-9557,9373
6640,4430,746,6,5298,19712
2630,-3987,708,14,2630,-3987
17950,24798,825,13,5529,-12973
27552,10042,712,2,-6395,9054
-9598,9782,742,12,-9598,9782
15858,25027,832,14,38,-3170
22579,-8986,714,9,-5681,-9524
-8168,16957,716,13,-3665,-8471
27585,-1635,746,4,-11183,4559
10145,-2131,733,10,2659,20127
680,2072,739,11,-1733,10484
9352,-11753,733,11,-8304,1815
27860,7732,709,3,-1212,-5331
-6108,8143,742,11,-3545,17268
28956,4229,727,8,-9554,-3284
24717,-6433,704,11,9416,-14501
28806,7067,704,4,9837,-15079
2490,25198,738,15,-8691,2440
19166,-5530,726,6,-4443,14871
22967,19988,843,7,22336,19755
-5334,19625,721,13,-6520,-3181
12625,24119,825,7,3704,2386
-4980,20996,719,15,-5685,-6259
-8059,-892,710,14,-8059,-892
12014,18288,844,1,12939,19541
338,21462,835,10,-4773,-736
19628,22412,846,14,11359,18861
8418,13461,706,10,9573,20736
-5522,15645,732,14,-5522,15645
18944,22116,845,11,13931,19855
14434,25421,831,12,274,-6983
23537,4384,740,4,5207,4356
17697,24290,847,7,4038,21336
16057,-2007,714,6,-808,14352
16467,24959,845,12,-5464,2286
-7975,-1116,845,3,-7975,-1116
-264,24346,732,15,-10245,3525
16694,8073,704,8,7996,14147
21663,-7569,715,9,-3392,-7593
21706,-475,743,10,-615,7192
12742,-11647,722,11,-6964,-2373
1273,8273,729,5,2070,17834
25161,8380,712,8,10309,664
20807,21342,835,11,18751,20740
19973,1038,704,7,13067,-976
24919,-6512,708,5,6097,-15052
-437,24584,747,13,-8758,-2821
22597,21019,846,15,19659,20669
-8803,5774,841,3,-8803,5774
7014,21697,708,15,3965,15861
13000,11537,736,0,14004,22249
3450,20381,734,14,2088,18291
18097,23583,825,13,6469,3078
4601,24042,730,13,-2682,16812
24444,1204,829,0,1840,7335
22892,3211,743,10,4930,4091
19332,24025,839,13,-3566,-4029
25197,-1027,716,8,-7223,12166
17966,23723,847,12,3077,16061
26171,-1765,732,10,-9019,7164
-11888,10238,711,15,11302,-13711
6116,22854,746,15,338,8985
2340,21647,747,14,365,19320
13967,10977,739,2,13288,21541
28727,7850,723,1,-9271,874
28690,5813,704,4,4522,-13840
755,21779,842,10,-4708,-932
94,-2651,726,12,-3730,2466
11464,19981,716,6,13657,22457
5986,4106,732,5,2431,13391
1477,22207,843,10,-5017,691
1689,14670,848,8,684,4978
27670,10266,715,2,-6189,8417
15738,19798,737,7,15869,20154
9944,25705,825,11,4792,-9180
25455,3629,726,3,-2586,12174
2148,-4938,724,7,-5279,8013
27241,11141,733,2,-1514,6858
26445,1101,723,3,-5376,16348
-2396,21418,844,10,-4052,-7462
9704,19913,711,9,11392,21973
19677,-6631,723,10,-5469,16150
7251,-1625,728,7,-300,6641
-1875,7929,708,14,-1875,7929
28247,12003,727,2,-9293,-1955
-3553,-2956,832,3,-3553,-2956
17162,19220,845,10,16110,17339
2185,16506,747,5,5271,21029
28411,-559,840,0,-8743,5217
18982,22625,840,15,12317,5623
28710,4839,716,4,-2358,-10859
5908,18903,745,7,7342,20772
13200,21928,735,14,12788,21542
-123,2231,724,14,-123,2231
28966,4423,726,8,-9070,-4198
10360,21052,834,4,6919,17171
19496,23153,829,13,6153,16072
15062,-3359,721,10,-572,16976
2234,12523,831,8,3335,4177
2287,9640,713,7,2340,16141
21074,20720,826,10,20688,20531
10633,23915,841,4,4998,21323
19904,23826,839,15,-7873,3565
19885,23120,832,15,4857,15286
15339,17922,731,4,15573,20312
3651,-11841,717,12,-4374,-7765
19230,-1924,703,5,6951,-3272
7038,6730,848,3,7038,6730
5929,10378,732,4,9422,22326
7839,24717,728,15,802,19949
6716,26395,832,9,7166,-14562
13366,21692,826,6,9823,18321
20296,19915,834,2,21060,20369
26900,805,711,6,-4320,-4545
26925,12357,708,2,2591,-2817
27675,14,726,6,-8639,-2180
6967,4633,842,1,4864,8949
12360,23053,837,6,6495,19066
5471,-10141,840,1,-4047,-3292
27693,13268,714,0,-4577,-9259
18053,18855,739,12,18053,18855
27873,-1624,730,10,-12631,4462
22191,-7422,710,5,1901,-11250
1787,19949,834,10,-866,1431
15035,2435,846,0,8795,18288
11104,26000,828,7,3642,-10774
-4138,-9500,740,11,-11058,6126
19187,24257,834,13,-7703,-779
14532,16238,711,3,14058,19979
13539,25896,842,7,-3369,-6829
20826,21145,826,9,19320,20725
6048,15293,833,10,8490,4613
21649,20880,837,11,20125,20574
-1676,2030,711,7,-3975,13720
17048,24680,835,12,-2567,15447
-2264,14232,714,14,-2264,14232
11962,-7572,844,2,456,19476
16822,24737,849,12,-5549,1785
-216,11122,729,11,2240,19228
-7323,-871,748,7,-8325,10755
5355,17915,715,14,5355,17915
18421,-12806,711,7,-2403,-12614
16993,18528,707,11,16771,18938
25993,-1050,746,8,-7112,10922
19773,23893,841,13,-8055,5324
17518,24159,839,12,352,16038
5787,8176,837,4,12414,786
-9082,10664,737,14,-8440,2990
1997,23926,726,13,-6247,13443
29292,5465,743,1,-11007,8855
10402,26106,837,9,-3623,-7056
19889,-11577,741,9,-4565,-9809
6269,19253,727,11,8605,21956
16730,22636,748,14,16524,22527
18535,3581,714,9,9660,3967
19710,20415,826,1,19930,20541
16195,18000,832,0,18186,20569
27782,13253,720,0,-5979,-7850
27279,13852,706,0,3030,-11815
-9673,16890,712,15,1763,-13425
6059,8348,746,10,7539,20872
25899,11609,706,2,3435,4309
9133,13611,726,4,10885,21297
4789,-10942,739,11,-6556,-990
15958,4327,727,3,6891,19247
18257,23897,842,12,2529,19128
5662,5756,838,3,5662,5756
3462,23655,711,15,-3975,13720
5768,5240,748,4,6962,21674
21979,20724,842,7,20469,20445
6325,24238,745,15,-2633,10954
25841,7659,734,1,3303,5231
17072,24272,841,7,2228,18818
19459,21826,844,12,13643,18712
27977,6317,719,1,-7664,7314
-2283,21409,829,10,-5453,-5134
27281,2520,710,10,-1900,-6350
13618,19811,705,14,13618,19811
19994,22040,833,12,15335,20775
15122,23289,848,9,4824,13680
8159,24885,825,9,3628,-6522
3785,-10847,715,12,-3776,-6929
3578,1806,707,7,-635,10017
19297,24174,832,15,-5975,-2549
229,-9454,722,12,-6594,-3770
28621,4713,708,10,4748,-13207
15152,22943,748,13,13220,21814
-6832,14456,843,8,-7171,-3035
21503,21094,845,7,19573,20677
24099,-7576,707,11,6991,-14803
10196,12724,737,3,11848,21415
13156,1181,843,2,6150,16148
26680,1655,710,4,-6496,438
18074,24015,836,12,3457,20203
8860,16576,726,3,13305,22839
20940,-10289,725,9,-8497,-5482
10635,-222,723,12,7018,1077
-1213,17279,737,14,-2408,13479
22704,-5080,738,10,-7335,9238
15764,22214,849,9,8310,13489
-4829,-304,714,14,-4829,-304
19460,22495,827,14,13332,20413
18241,23220,836,13,11922,1540
14540,17485,719,4,14662,20167
3211,16016,725,12,3877,18124
20862,21802,834,15,14301,18735
4703,13904,742,9,6311,19194
27771,2150,714,6,-2290,-8137
27114,-1692,733,6,-10679,3809
19691,363,704,10,-590,8736
19688,23487,831,13,3067,17573
-11044,1313,742,14,-5637,-7598
1920,-8280,845,1,-5922,731
18883,23800,825,15,1164,6599
9282,-6772,726,4,1413,22728
22918,19992,843,5,22336,19755
-4606,9816,725,12,-3998,14635
27633,11330,730,0,-5265,12158
3648,19717,727,14,3648,19717
16169,-6238,705,7,3132,-5023
20125,-10970,726,9,-9795,-3810
-6761,4618,745,9,-2960,19623
27398,643,720,6,-6423,-4014
-6527,-7370,743,11,-11007,8855
-8923,-5117,719,14,-8923,-5117
13258,22812,837,7,8403,3813
12757,10090,832,2,12221,17669
3797,-3314,709,9,-4391,12680
11734,-6482,746,4,336,21011
19224,22157,839,12,13067,19242
21745,20765,842,11,20350,20345
27568,192,726,10,-8871,-270
21891,20850,828,12,20640,20497
28708,7660,713,3,-4648,-7416
27896,12768,725,0,-8560,-1153
26116,-782,740,3,-4774,17459
13607,22687,839,11,7766,6130
8719,18381,730,10,12546,22822
21628,20816,828,9,20829,20479
18633,-5241,714,8,-2493,19415
-5512,15442,835,8,-7064,27
26680,11339,709,0,-2838,8439
26239,-2204,733,6,-9487,5844
20939,-367,717,4,-2056,12005
9513,22569,849,4,3986,18083
-1776,258,736,6,2597,23004
-6635,19939,712,15,-4370,-8676
28617,3594,730,8,-10255,1048
9234,3680,735,4,5341,19256
-5325,16263,837,8,-7687,752
8256,16479,848,10,8933,6845
-1621,-5448,738,5,-7335,9238
13252,25668,840,11,-4047,-1639
-3542,5200,744,11,-3071,14530
10876,10511,741,2,13424,22762
17978,20453,838,9,15546,16952
-4922,15359,744,11,-508,21273
8074,22757,706,13,4984,19410
-5244,8090,723,12,-5110,13290
13211,-981,724,6,1135,16401
22727,-3685,733,6,-6217,11288
-1960,23977,730,13,-11804,5630
15605,25003,830,14,1120,-4556
1870,22485,839,10,-5846,2406
26017,10050,711,3,10814,-663
-2224,24133,739,15,-2613,-10983
21417,20075,847,3,21417,20075
-6151,11003,715,14,-6151,11003
27630,13923,725,0,1061,-12306
7261,4023,840,1,4880,8265
23352,-5839,747,10,-8400,10987
-8979,15285,748,14,-10606,7716
25701,1040,735,4,-2721,1710
937,1515,843,2,7048,23057
13324,24335,840,9,291,9550
15417,8515,719,8,8809,16317
21135,19826,839,11,20167,18707
10188,11526,717,9,8676,16039
18605,22272,824,11,14222,20446
26935,12500,706,2,3654,-4698
28699,11730,744,2,-8392,-4892
-7807,5372,715,12,-7935,11652
5072,18296,841,4,2516,8469
3098,-9130,719,5,-8489,9562
6044,18735,739,15,7671,6789
15831,23667,831,7,4741,14979
16974,-4157,734,6,-2810,11971
-5024,-7812,730,12,-10494,303
15845,466,724,11,7002,2576
16041,24725,827,11,1851,19868
21171,19660,842,9,20357,18696
654,8740,703,15,12115,-414
24592,-6496,708,5,5673,-14392
-608,10859,709,14,-608,10859
20940,20625,833,10,20445,20401
20245,-9721,716,9,-7045,-5528
4433,16939,715,11,6501,20729
23157,726,724,8,-2657,12288
28970,5115,722,8,-6679,-7768
16668,22504,847,7,8211,13060
24664,-1685,728,8,-5487,15324
4796,5126,734,14,7585,2724
1444,16977,716,14,1444,16977
15350,25344,829,14,1513,-8030
27310,3920,746,3,-4146,7974
3688,-3016,743,9,-3074,10766
7422,25038,742,13,-1578,17776
8498,20484,713,11,10173,22194
12384,-14377,710,12,3460,-14697
5484,-1395,717,12,1592,1490
28643,7507,718,3,-5304,-5535
21265,20965,835,5,19851,20458
13757,22776,849,7,9340,2695
-2046,11175,834,1,-220,17216
29098,8717,737,1,-3346,-8813
17127,-1881,738,8,462,16978
4131,-8829,826,3,4131,-8829
-2281,-8774,824,3,-2281,-8774
5920,17056,849,3,5920,17056
1377,-942,707,12,-2030,3060
29046,7631,727,1,-10984,2233
27773,13423,722,0,-6040,-8322
-3123,13319,728,14,-3123,13319
28525,6222,709,4,5357,-12386
5508,6945,824,10,15806,-93
20686,22593,843,15,8278,17766
12104,22012,837,7,12249,2067
28896,5397,703,6,10387,-15105
-12038,10428,736,14,-11539,1319
2047,12637,836,2,10717,23401
22487,20390,843,5,21636,20167
9334,-14416,739,7,-4068,-8988
14596,23110,831,12,8803,4134
26315,3250,732,1,-2121,17571
-4841,21414,721,15,-5982,-6423
7848,-12976,844,1,-4052,-7462
-9720,3410,730,14,-9720,3410
23671,4116,745,4,4497,4676
9538,20967,824,6,5405,13724
28757,7584,717,8,5850,-13463
26910,-3168,742,10,-10455,2075
16461,14493,710,0,13980,19961
26711,4767,735,3,-2466,5448
4396,10514,730,9,5275,18720
26715,9645,731,0,697,17581
28533,12042,737,0,-11800,2166
28454,608,730,4,-12564,4606
10503,20213,732,7,11677,21602
27874,12655,722,0,-9013,-10
29285,8813,742,1,-5534,-9060
4309,1700,712,5,-429,12110
11543,26044,831,11,-806,-8243
26419,381,740,3,-5186,15229
28696,4111,713,4,-3770,-9956
15819,24156,841,12,1883,1687
789,-1011,844,1,-2793,7168
3982,23534,727,15,-3279,12801
13938,21050,703,15,13483,19767
5756,26919,748,15,-10960,12558
24117,4732,730,10,5086,2814
27798,-200,731,10,-10364,1748
19005,1010,827,0,5284,14700
10516,26195,833,5,-423,-10487
25745,7934,725,2,1302,16730
11716,16441,841,2,15174,21022
7656,26061,741,15,-4429,17923
-2630,-4699,733,9,-4836,18298
17381,-11828,729,9,-10397,417
14512,24220,825,12,3704,2386
11015,4810,733,1,9605,22421
13334,-11758,829,1,2871,-10414
24965,-3779,737,6,-8052,2787
-3273,-12114,712,14,-3273,-12114
-11537,11177,721,13,5737,-14045
16124,23407,844,5,5094,15634
25220,7622,712,4,10306,-251
24048,-2926,740,3,-2235,19747
26401,-2133,832,2,-2248,-2797
16104,25256,842,12,-6273,-3028
22125,-6448,712,9,-1186,-8153
12837,25582,840,11,-2236,-4736
18372,23616,825,13,4731,5421
5164,-7607,727,5,-6485,9147
-2104,19082,833,10,-854,-5807
91,19110,843,3,91,19110
6491,13300,828,6,11695,3083
-6285,17702,745,14,-8551,11813
-8740,4211,737,7,-7387,14178
15941,23051,841,12,7567,6665
-5981,15931,825,10,3520,-11141
28694,8721,726,1,-6136,-3364
16602,22512,839,9,9828,17710
7757,19429,825,9,14627,466
12741,24154,738,15,8490,22009
27214,14377,711,0,11802,-13589
11531,3244,829,3,11531,3244
19964,23296,838,15,1511,12587
14176,-13550,709,12,5802,-14612
12471,22757,838,5,7268,3754
18978,700,708,8,170,14384
20630,20518,841,8,20285,20374
15235,22616,736,12,15235,22616
14286,23670,826,7,3662,9692
-2218,3387,719,12,-3853,8348
22341,20895,831,13,20309,20456
-48,19857,739,14,-1883,16697
6093,-10641,824,3,6093,-10641
12390,22535,841,7,11403,1342
-3362,-1667,847,1,-6244,8822
15488,-415,732,5,4609,3383
27539,1098,718,6,-5304,-5535
6243,14597,846,10,9712,3269
27598,10437,718,2,-5527,7615
3731,13330,828,8,4388,6531
10786,1747,718,6,3167,17466
22825,447,743,3,-62,16754
16437,23226,837,11,7333,16594
27793,-1398,743,6,-7685,-4855
28108,2815,826,0,1826,-3735
13303,-13714,737,9,-9301,-2633
17054,-10714,715,11,-3392,-7593
10378,7209,844,2,10195,18711
7595,24365,836,10,-2275,15968
19166,24072,825,15,-4391,9238
26422,6456,718,1,-2877,7950
13717,-7784,711,5,-3650,-542
16677,25263,834,14,-7703,-779
19869,20384,828,1,20086,20507
20789,21982,845,14,15677,21085
22251,2276,836,2,8084,5355
18133,-8076,720,6,-5899,16512
11144,11154,827,0,13332,20413
17713,22958,826,14,8270,15417
16174,-12997,728,5,-9708,-3266
14307,9801,737,8,10242,17278
22489,4561,845,2,11690,6374
