特征一实部,特征一虚部,特征二,特征三,特征四四部,特征四虚部
29497,2128,843,0,-4022,-6070
15116,24437,826,11,2004,15969
12823,20185,833,8,11330,18547
20113,20881,829,10,19385,20560
22059,-2099,737,10,-3163,7329
16842,18930,709,14,16842,18930
12086,21747,849,10,7268,16948
4017,23315,736,15,-2574,5974
17716,-6978,734,6,-5658,13050
26251,5948,705,4,5760,-4435
-2655,7753,722,11,-992,18278
17481,18816,836,1,17769,19254
20539,3994,733,2,8504,22334
3322,26469,740,15,-11934,5321
-6251,-5457,732,12,-10547,2898
3395,-13237,732,11,-11232,7069
4578,-2423,728,11,-2569,9515
17822,24860,824,13,6361,-13180
10136,21529,835,5,12817,334
3677,2391,828,1,1021,8034
6638,16220,834,3,6638,16220
18697,23509,849,14,3583,15516
10766,-7692,710,5,-4681,2405
-4353,22174,723,15,-7412,-5508
17293,-6364,747,10,-3556,15662
-12515,7681,705,13,7455,-14401
28913,10436,747,2,-10110,7557
21093,20607,830,4,20763,20476
13907,-489,745,9,4458,4302
20009,-4507,728,6,-4527,13460
16156,-3416,713,11,4066,-1444
29864,4057,831,0,5405,-12388
14379,25764,843,5,-8598,7912
16953,20403,847,4,15601,19316
12500,22480,723,12,12932,22781
-7964,-5459,724,14,-7964,-5459
2802,23007,711,15,-3773,12019
12180,24078,828,9,1021,8034
9586,17789,717,10,12187,22111
2693,22718,834,6,-4681,1797
16029,8237,712,8,8346,15328
27864,10362,723,0,-5376,16348
15817,24086,847,5,1587,14551
1412,3237,725,5,-495,15505
14267,22337,724,12,14547,22536
28920,6199,723,3,-9942,768
28522,11961,738,0,-11800,3363
28252,4190,722,8,-7365,-2412
8445,19828,748,7,9562,21115
28368,11022,717,1,8274,-13459
8874,14581,726,10,10885,21297
27492,13326,705,2,7488,-13572
14879,21990,837,6,11425,19582
16792,-5664,829,2,-1020,14161
15063,4215,840,1,12317,5623
15666,23071,824,7,7423,15204
-249,-8137,837,1,-7538,1778
29047,7357,723,3,-7883,-5284
28133,8605,741,0,-1590,20357
22175,4390,709,1,1763,14959
16907,2470,718,8,3499,16133
15470,25583,833,12,-7345,-1696
27801,683,703,9,17377,-11761
26239,5664,838,0,11451,1830
-5327,-1152,725,5,-5288,17595
11305,19471,748,3,15312,22849
-11777,10959,705,13,3558,-13623
8770,20720,833,4,4985,15565
26392,-2232,846,0,-4978,12320
-426,18819,722,15,381,1228
22112,20803,830,14,20763,20476
27200,14300,706,0,8000,-15154
28704,5675,704,10,9018,-14292
12882,3339,708,10,3965,15861
7789,23637,722,15,2589,18586
28168,12614,731,2,-5391,-8036
-3001,12343,710,14,-3001,12343
18459,24401,827,13,-2174,-3102
28191,12061,736,0,-8416,1796
2499,24554,843,10,-9662,4621
5530,1091,826,1,2055,5960
13372,-11633,718,7,-4909,-5484
27960,12949,713,2,2086,-13927
15851,22218,738,11,16243,22430
26371,-862,729,10,-8440,4701
9020,7385,732,10,7700,19888
27636,13723,714,0,1083,-13499
2082,1236,744,11,-1114,9446
13233,25149,836,11,-1778,2007
28217,12849,741,0,-6240,-6029
9154,25976,744,13,112,22193
-2446,20953,713,13,-6944,4281
28461,9505,742,2,-6718,12011
-6336,20870,720,13,-9411,-4168
6268,18181,825,4,4261,10688
26546,9075,721,2,-1123,13928
22105,20563,845,7,20885,20173
27092,-1370,723,6,-9942,768
2544,9654,735,9,3178,17329
20549,1975,710,9,9963,142
26329,2229,728,4,-4052,3378
14880,21441,748,10,16524,22527
2836,14023,713,5,4837,19840
-311,15486,717,14,-311,15486
29144,8640,727,1,-9659,-4214
27267,11088,725,0,-3550,11763
18536,23753,835,7,10485,23359
11144,26441,832,7,4643,-13795
7020,17734,849,4,5105,9373
-3042,6237,735,12,-3042,6237
29007,7141,719,3,-7953,-5246
13750,-10576,712,11,-4826,-3832
20371,-338,719,4,-1379,13065
28911,3049,735,8,-7759,-5246
11929,443,748,9,3808,6756
28406,9760,710,1,-398,-10219
15357,24790,839,9,1358,19133
602,14554,746,11,2922,19335
11821,-4946,846,2,2328,18563
25340,-687,742,1,-1231,20668
16207,256,732,9,4236,4878
20321,-8878,712,9,-5466,-6029
-2624,18634,841,8,-7132,6229
11216,24393,824,5,1999,1392
-11520,-84,741,12,-11520,-84
1826,-3735,826,3,1826,-3735
-7220,-8411,733,12,-12629,965
2041,16581,837,3,2041,16581
-7842,4731,835,8,1985,-11011
28526,10544,703,1,5677,-15456
26834,-3205,705,9,8933,-15135
27463,571,739,4,-6556,-990
-4250,18696,837,10,367,-10036
16745,-6432,729,10,-2915,18273
25311,5816,740,2,3536,19776
10820,22063,705,14,10820,22063
5652,12976,728,9,6972,19421
-912,-6281,838,1,-6955,3650
19413,4449,727,2,8605,21956
1866,9344,705,12,1238,12182
-764,1434,717,14,-764,1434
22837,20158,848,7,22103,19903
11321,-4793,722,5,-1870,4160
-5790,7209,733,12,-5618,13010
25156,-5647,739,6,-11021,5231
-8199,872,735,12,-8199,872
-2271,18931,746,12,-2271,18931
-2877,7950,718,14,-2877,7950
28426,4952,720,8,-5516,-5346
-9135,2990,827,4,10366,-14078
25594,2334,730,8,-3987,8600
27635,4823,737,1,-5629,9948
16528,-13609,733,7,-6329,-8956
23985,-1027,722,10,-5258,6698
13498,23084,840,5,5494,6410
21151,22254,848,15,10812,19187
2865,2122,834,1,347,8482
20383,20438,832,3,20383,20438
22826,20635,839,15,20889,20273
-2091,14952,841,8,-2936,2472
26728,9125,737,0,815,16796
-4690,3337,717,14,-4690,3337
25603,8675,709,8,11461,-806
18592,23868,826,13,1034,4410
28980,8752,725,1,-8554,-5147
-2810,11971,734,12,-2810,11971
713,-7425,716,12,-5136,-2346
1533,9194,725,9,3207,19311
17966,22771,844,7,10195,18711
29359,5987,747,1,-11014,7663
24470,-357,718,1,-1180,20733
14698,23744,844,5,2519,9732
16246,-4902,704,7,4575,-4232
11095,24644,830,6,2836,20693
5679,18807,722,7,7756,21500
8170,17203,824,6,8453,7646
27989,6626,703,3,-5546,-3151
25108,-2067,736,3,-3808,18689
16264,24116,838,7,2560,16206
7344,-15901,735,11,-8817,-6256
16661,24949,845,12,-6768,2364
28696,9876,715,1,-857,-12560
-1607,-12677,715,14,-1607,-12677
7464,9103,744,3,10585,22451
13620,-13350,746,9,-9160,-1767
12945,25503,839,9,-5963,7202
10288,25606,836,9,-1940,-5263
26045,9447,710,2,-635,11523
29030,3368,742,3,-10491,7869
10816,24941,827,5,1478,-2433
10860,13025,713,2,13027,22579
27909,11161,735,0,-5755,8594
-485,10704,727,7,1747,18685
28643,7045,703,4,9894,-14018
5182,9469,737,4,8300,21922
28749,1782,717,10,-7376,-8373
15344,23616,831,14,8650,1915
28824,4621,723,8,-7883,-5284
28672,1301,726,10,-8919,-5175
26592,12288,746,0,4960,5704
27501,-1845,737,10,-9001,-2331
19382,23571,828,15,1055,12108
10531,21648,725,7,11889,22676
19223,24115,837,13,-4205,-4163
25743,4324,712,10,4218,-2982
9082,1806,736,6,3362,17581
12625,20023,730,8,15158,22559
20434,22042,835,13,12564,17956
28498,10979,730,2,-10607,7298
15652,24679,835,9,2882,20452
24382,9202,715,0,4914,17420
1476,24748,739,13,-8849,4375
345,21349,734,13,-2320,1193
3076,11886,729,5,4585,18992
18347,24754,835,13,4361,-13903
-9068,15153,711,13,-1198,-9702
17276,21555,848,8,16029,21138
12123,486,828,2,5099,16326
16824,25015,840,14,-4335,-3937
20890,-5565,716,6,-7090,12231
5353,25524,731,13,-3113,20134
11102,-7989,706,9,-6178,5003
23607,-6497,712,9,-462,-10872
7467,18952,840,10,4880,8265
11062,20975,717,11,12187,22111
12388,25492,838,9,-5385,4835
16091,24551,828,12,-1649,10600
18571,22281,834,9,14263,20739
27317,8067,705,2,-5038,15582
19431,22355,837,14,11924,18977
15356,-642,839,2,4460,14106
15376,25667,848,11,-9293,9606
28862,6917,729,3,-7564,-1229
20419,-9454,723,9,-7160,-4795
5406,17377,748,5,7392,20602
18864,21643,837,7,14607,18904
21771,19928,844,1,21891,19999
-4861,20477,711,13,-8417,-35
27419,5981,716,3,-5090,2837
12859,25483,841,5,-3740,-410
23972,-7601,707,11,6696,-14607
19845,3710,730,1,5275,18720
-5271,192,746,5,-5775,14488
-1576,-6970,839,1,-7873,3565
28344,10547,747,0,-5468,15029
12838,21479,828,6,9191,17567
16256,1940,706,10,2338,12791
3479,23106,844,6,-4876,1886
10746,-5117,712,7,-332,738
4780,25383,729,13,-3845,19373
16023,21525,837,8,14656,20883
2570,24862,736,15,-7350,3126
11102,21391,728,14,11102,21391
20494,21273,837,9,18616,20552
18690,3461,743,2,9427,22393
6209,15855,736,9,7747,19794
-5846,7672,723,14,-5846,7672
26916,10253,740,2,569,7943
8520,3631,730,10,5419,19947
11160,25632,835,9,-4773,-736
29218,5470,715,4,807,-14543
15004,24477,845,5,-977,11149
1612,25085,743,13,-9806,4248
12025,24675,834,6,4170,21631
15209,-12066,726,5,-8639,-2180
4432,-7629,724,11,-6586,7049
20168,22611,831,13,10533,18938
14475,-336,718,4,1818,17550
10933,-11188,706,12,3476,-10672
11218,2840,834,2,6919,17171
24472,5368,710,1,-551,11287
26951,7526,748,2,589,17608
5854,-14258,718,12,-3382,-11225
-3350,3677,722,14,-3350,3677
20514,23158,846,15,-862,11685
28340,9919,711,1,1045,-10849
-6359,14632,728,12,-4207,18967
28609,8187,725,1,-8074,140
9499,12903,727,8,11005,21320
8101,5758,834,8,12920,1680
14196,22469,734,14,13835,22224
27749,-562,726,10,-10745,1293
9200,24876,742,15,750,18587
26564,12103,733,2,4391,4080
6650,19124,748,13,6612,8772
27575,14026,724,0,2875,-13728
22154,18382,846,5,22085,17451
16666,24811,832,12,-3322,13738
6312,24945,737,15,-3961,13483
19333,22528,843,14,10375,18293
2568,20181,834,3,2568,20181
13910,-10665,825,1,4192,-9734
13656,18621,708,9,13840,19907
10520,25940,825,5,-1786,-6634
16616,24294,831,12,850,14185
26054,2304,725,3,-3998,14635
23826,-3534,732,6,-7393,9872
9460,18657,738,4,13052,22731
-4733,19397,746,14,-7388,14423
28296,12462,737,0,-9715,-1858
11881,-840,728,6,1838,17763
10135,18929,840,10,7955,11453
16058,23354,831,7,6232,15522
-6536,8818,738,5,-2925,18978
2279,25755,748,13,-11084,6419
27221,-2395,747,4,-11097,7636
8959,22028,748,14,7935,21068
7082,4827,826,4,15278,-61
11522,21646,715,12,11921,22052
25797,10714,713,1,10032,766
11001,26549,824,7,907,-11962
23929,2521,717,6,1592,1490
12895,24216,838,11,2606,392
18031,23255,834,13,12395,1273
13027,22408,838,5,7856,5874
27976,11944,706,1,17131,-11829
20104,23768,846,15,-6551,-5091
8565,-13946,744,9,-10724,3266
28564,10786,745,0,-7695,13780
6265,18483,829,4,3710,10761
2544,14698,846,1,4445,18716
27921,-1339,845,0,-7920,8797
8952,20695,703,11,10315,22142
29491,5423,744,1,-11918,9037
7376,-3069,833,2,3356,20017
26463,-3831,708,9,6758,-14720
13677,-13481,720,11,-8486,-4355
26388,5674,737,3,31,4279
4401,981,744,11,381,8118
-2668,12139,708,13,4754,-1952
-4909,-5484,718,14,-4909,-5484
14694,25269,843,5,-5569,10244
14359,24946,833,9,-507,16786
22273,20732,833,14,21148,20360
27117,10877,722,2,-2489,6135
10859,3,709,11,2908,5351
5065,25039,736,13,-5204,14214
5859,-13071,718,14,5859,-13071
26556,-3227,705,9,8503,-14525
28086,9130,736,0,-3286,18489
27048,8635,726,2,-1504,16063
-1319,-3263,835,3,-1319,-3263
12794,8419,723,0,12932,22781
16207,24323,837,12,242,8016
9630,20159,709,5,11105,21894
11630,23423,846,4,6846,21067
28846,8348,710,3,-1145,-11751
9654,20311,842,4,6198,15301
28968,4909,717,4,-1790,-11929
27580,4506,731,3,-6444,9961
16060,22360,825,9,10198,17533
10311,24164,831,6,1939,18755
17566,24585,847,14,-5016,245
26145,395,726,3,-4454,17840
20021,-4642,728,4,-3224,17868
12216,22237,847,6,6826,17079
26406,7095,731,2,2128,19699
25973,9402,719,3,8127,683
-8471,7970,733,14,-8471,7970
15516,22797,745,13,13812,21752
7827,21509,742,14,6787,20349
27462,8755,714,0,-2493,19415
10362,23967,841,10,2228,18818
26904,-1175,723,6,-9271,874
-1223,14406,734,7,1010,19109
18070,22328,836,11,12644,19229
28081,12807,731,0,-11504,1329
12373,19966,744,8,15151,22562
4167,-317,703,11,-1691,9489
9887,-13080,726,5,-10525,3549
10086,24180,839,4,4153,21441
11129,18760,744,14,10892,17859
19709,-1711,746,4,-959,13603
28685,2244,714,10,-5681,-9524
27527,7296,744,2,-497,18454
4208,24961,729,15,-5476,15166
27865,9476,737,2,-4341,10737
755,7455,721,7,587,15628
12577,25747,830,7,-2576,-4329
25945,-3006,842,2,-4052,341
6064,26303,746,15,-8700,12916
20207,21975,836,12,15699,20860
21581,20906,825,11,20615,20562
11329,-11362,734,9,-7315,170
27893,10171,745,0,-3202,15491
16204,23019,848,9,7100,16720
7555,-13857,737,5,-9166,-1911
8410,1672,748,11,3808,6756
1594,18776,735,14,425,16072
28565,10683,741,2,-8516,4892
-10528,2284,743,12,-10528,2284
23704,604,834,0,1761,9602
14555,15998,825,3,14555,15998
15103,10444,744,0,13715,21721
16505,21440,847,10,14203,19946
2637,19627,747,12,2637,19627
-5584,11563,747,11,-1926,19293
-2356,-3219,738,9,-5712,14094
28182,3371,710,6,1901,-11250
15513,25340,844,7,-6951,8712
5077,-1906,742,6,1887,20363
22462,20317,848,5,21481,20044
-415,8066,731,14,-415,8066
211,20451,825,10,-3234,-17
23592,-1213,718,4,-5356,10843
9408,23941,742,13,3610,19001
-1589,5524,717,7,-1578,15500
17880,23790,844,12,2857,16485
15023,24296,832,11,1491,13861
18774,22082,845,5,13931,19855
-11041,9982,741,14,-10264,1095
28457,12245,743,0,-10528,2284
23915,-6152,711,9,411,-11351
5025,17196,743,5,6962,20492
28425,8446,737,2,-5748,15882
28180,12369,729,0,-11251,4311
27509,-2538,733,10,-12516,7514
21538,18432,831,9,21566,17533
11672,18874,740,8,14400,22274
7331,23847,736,13,623,16443
2754,16840,748,11,5006,20367
9029,-13519,734,5,-7929,-3441
28503,3564,747,1,-7065,15038
15768,24092,842,5,2437,15769
12375,-8161,709,9,-5957,4307
24887,2842,743,1,-521,15866
6722,24513,844,6,-5403,10958
17832,-2598,721,10,-1825,14282
8530,-11747,723,7,-7764,-571
15179,25034,841,9,-635,18315
11900,22354,843,4,7984,19721
16945,8464,722,3,9057,16742
6287,25414,735,15,-5218,14418
19976,19527,845,2,20885,20173
28362,8669,719,1,-5469,-3486
3429,15322,839,8,2561,7619
5832,-3323,716,9,-3111,11669
5976,-13164,717,12,-2810,-10134
7503,7087,839,8,11787,2338
28206,10456,705,1,5744,-13086
3135,24327,733,15,-6217,11288
23117,-8192,719,9,-4456,-9704
4493,862,704,7,-590,8736
16392,-11696,718,11,-5047,-7029
-1098,8748,731,7,247,17509
14466,24797,826,7,-898,11333
4374,-3871,836,1,-1305,2632
10974,3513,705,8,4827,19251
11090,18570,711,3,13791,22526
16722,-11803,731,9,-10364,1748
21253,4415,728,2,7586,21842
27827,12874,713,2,656,-12270
27098,11783,740,0,652,6352
18983,22356,848,7,12476,19888
24798,6229,840,0,12317,5623
15198,10327,743,0,13592,21695
5183,17653,722,5,7756,21500
17234,24379,830,14,-379,13317
10853,-7085,737,6,-2494,18014
14586,21993,748,11,15171,22341
28203,8757,710,1,-3769,-5209
17122,24415,829,14,-516,12834
1923,21963,717,15,-3095,8604
5842,16350,730,11,7564,20177
27283,5319,719,1,-5803,10977
17451,-12096,741,9,-6184,-6637
15781,9497,741,3,10664,17666
28442,9320,714,1,-2676,-8208
19040,22096,846,11,14070,19914
22442,-3932,734,6,-5827,5791
2948,-14759,743,5,-12118,2242
10512,-4758,720,7,-394,1642
13471,20870,734,10,15263,22418
25268,-4435,840,2,-6033,3207
16470,25009,845,12,-6332,194
13106,20448,848,3,13106,20448
10635,23703,738,15,5441,19087
-8327,-3751,746,12,-8327,-3751
15549,23962,848,9,3287,16390
6228,25654,827,9,8778,-13066
14957,24880,826,5,203,17540
16151,1632,720,8,2970,16897
5095,-8936,705,11,-7425,4346
3548,15958,720,5,6114,20881
28366,9736,703,8,19014,-10733
15418,22556,747,12,15418,22556
27602,4291,717,3,-7376,8279
26490,-4941,706,5,10483,-15845
18580,24426,828,15,2583,-8863
8821,16163,712,4,11519,22008
9252,17590,713,6,11681,21992
16675,23262,839,5,7759,18182
15736,22808,829,12,8130,8827
26142,3584,715,4,-1422,-380
4631,14681,830,3,4631,14681
6477,-13513,734,11,-7381,-4004
28771,6618,709,10,13010,-13412
23093,-2275,834,0,-804,13763
28960,4767,717,4,-2539,-11689
2353,25519,740,15,-9346,1625
28842,6774,723,8,447,-11693
14298,21778,835,10,11129,19376
25835,9836,719,0,1401,15242
-8554,-5147,725,14,-8554,-5147
13604,22754,836,7,8084,5355
21421,-4620,711,9,1801,-5951
28659,8698,715,3,351,-10446
14633,24362,833,12,4051,-1674
28856,3045,738,4,-3247,-9500
14773,-11244,719,11,-5485,-4756
-5986,-732,719,11,-6209,15987
-6986,19267,731,13,-5391,-8036
-10779,4743,734,14,-7387,-3845
10532,24141,833,10,3356,20017
-3574,21524,727,13,-8567,443
-1728,-2687,715,7,-6151,11003
18933,23732,827,14,8512,22766
4597,19315,832,4,1045,9906
12955,19913,728,3,15560,22570
19719,22174,840,14,13195,19331
15338,22372,742,11,15825,22616
4684,-13330,735,11,-8394,-2513
28929,10583,740,2,-11934,5321
29022,3981,707,10,1561,-14505
-5776,11522,828,4,2166,-8509
2627,22617,708,15,-3307,11319
28880,3420,714,6,845,-13336
27169,4853,722,1,-5314,12751
-1682,9950,704,14,-1682,9950
4134,23165,741,13,-2891,8821
-3886,-2979,716,7,-7223,12166
15244,25070,837,5,-1969,16473
4654,-7982,840,1,-3303,-901
-409,13675,744,11,1880,18874
174,20805,718,13,-3834,7766
26922,-797,729,10,-9501,3688
14642,23238,826,5,5970,13926
9250,20575,849,3,9250,20575
25463,4696,710,10,5332,-2387
21480,20952,824,7,20350,20588
28769,5410,735,3,-7475,-353
9822,26491,827,7,7833,-13524
12208,22389,843,11,10904,1654
263,-10821,744,5,-10085,5959
8829,1546,748,4,4890,20203
14309,10170,732,2,12854,21742
28783,11015,742,2,-10298,669
-6645,-3049,738,7,-9062,8563
-3153,-613,741,11,-5495,10692
29152,7041,737,1,-9125,-595
22100,879,845,0,4496,12705
28435,9651,707,3,7028,-12677
27760,8110,731,2,-2280,19037
11794,25836,830,7,1265,-7955
26055,12779,718,2,8617,1451
18096,1172,728,6,2126,12134
16742,24188,826,14,912,11210
1625,668,736,11,-1780,8924
19744,23814,836,15,-5899,4799
23171,-1187,732,10,-3976,9786
-4829,11161,728,12,-3929,15835
21957,408,712,4,-2348,9576
21982,20608,848,5,20741,20252
17307,23966,836,14,1845,10479
27597,10619,705,2,-7425,4346
15404,22558,828,9,8851,16469
17741,24709,824,13,5470,-9484
28932,8154,717,3,-3677,-10078
8613,22623,832,6,1491,13861
6050,6955,729,4,7761,21937
9049,15369,715,3,12163,22394
9107,-12730,835,1,-2336,-8441
5933,12096,834,6,12920,1680
-9554,-3284,727,14,-9554,-3284
9952,13592,716,1,12059,22077
13106,5158,849,0,10975,19308
-6039,-7757,716,14,-6039,-7757
20725,-11234,827,1,11595,-14750
10311,-13481,712,12,1599,-12686
1590,23238,724,15,-5837,8363
19247,21709,849,7,14232,19075
4541,3970,713,12,2384,6799
22742,20660,844,13,20809,20206
28936,8932,707,3,1642,-14590
5066,22768,846,10,-3415,8087
-2498,21804,829,6,-3433,-8871
25930,10028,703,2,-560,8314
16442,-11639,723,9,-9942,768
-816,21399,712,15,-5051,3698
10086,3969,843,1,7400,7198
4055,8782,834,3,4055,8782
12562,21023,828,4,10111,18564
28885,5785,704,10,9986,-14872
11223,20926,706,9,12494,22278
-11198,16129,706,15,2600,-14822
5464,-14749,734,5,-10988,-830
4705,8810,726,6,7218,21649
22287,-8893,705,11,3558,-13623
23135,4548,706,4,3435,4309
-5911,-835,718,14,-5911,-835
16862,3492,828,1,13997,4137
22355,-8224,747,6,-9555,12096
11487,18712,740,3,14727,22543
11135,26283,831,11,631,-10774
19512,23372,835,15,2306,6747
12098,-3731,738,10,-213,17250
13167,22009,732,11,14221,22680
17324,19651,724,15,17461,18939
17614,22362,847,9,11509,18965
3442,2067,710,11,-635,11523
9589,22790,739,14,8691,22115
10001,24268,743,13,3876,20019
4968,8434,846,1,4594,13036
18467,-11827,723,5,-7350,-6916
27344,14125,716,0,6754,-13620
28212,11892,737,0,-8025,3749
27224,2485,707,6,110,-7907
-8139,7442,747,5,-3842,19432
29685,2381,829,0,-3433,-8871
2678,19101,745,12,2678,19101
-1598,8423,718,12,-1948,12455
-2397,1304,718,14,-2397,1304
-1286,-10757,720,12,-8486,-4355
2230,-11289,741,9,-9731,8956
1318,-12155,717,12,-6726,-6954
11538,20157,833,4,9021,16749
28105,10360,745,0,-4124,14675
1503,10379,728,9,3838,19932
15201,1238,843,0,7851,18532
12408,24395,849,4,7319,23049
18223,17826,725,4,17483,18971
24662,6439,740,2,4095,18566
28391,2681,718,10,-3892,-8644
9483,13292,721,11,8978,16603
7013,15854,715,10,10452,22287
7444,25476,735,15,-3071,17169
5913,18583,719,14,5913,18583
5868,21965,837,8,1034,17488
-4073,1478,744,11,-4996,12539
12979,1517,828,1,9306,3459
10983,21766,843,10,6150,16148
20068,23447,847,13,-2013,9404
13111,22017,849,5,9753,4185
27438,-2636,730,6,-12631,4462
-1898,17895,710,15,335,-214
29161,6153,745,1,-9917,6261
8533,807,713,7,2384,6799
11987,24547,834,9,-980,4878
20425,23235,835,13,4495,21837
10608,10587,726,2,13305,22839
15263,24089,840,11,2178,12191
18468,24040,840,12,4477,21645
28014,2529,711,6,-1198,-9702
13017,-12634,729,5,-9738,691
13156,21313,838,7,12575,5339
1242,19658,826,10,-1094,1254
17982,-9596,709,7,1077,-9599
27400,14149,707,0,8345,-15039
-10317,2305,736,12,-10317,2305
-7681,4593,714,12,-8097,10948
8086,-8284,744,10,-847,21013
-9666,-3415,728,14,-9666,-3415
21758,-1328,734,3,-228,18055
259,20681,746,14,-1797,17667
27719,-24,708,9,15709,-12478
7698,-12340,705,12,-316,-10431
17467,23246,848,14,6033,6758
-4320,-2291,717,7,-7031,12786
22908,20299,847,12,21998,20042
11522,-12752,731,5,-10086,2597
13708,23319,832,7,5393,5448
18893,22778,832,14,10683,19051
10738,22084,832,7,13635,49
22918,20516,839,13,21591,20135
12191,23842,831,8,9512,23105
16491,22915,825,7,8734,17073
14443,22522,723,14,14443,22522
-4410,-4637,748,9,-6750,15592
11843,25565,830,5,-3421,-1106
734,21715,831,10,-5003,722
7411,21369,847,8,3514,17481
24147,-8143,720,9,-4141,-11668
27089,1471,742,1,-4058,18383
18006,23355,835,13,12817,334
9564,192,735,5,3180,5601
3371,22502,729,15,-2549,9973
28756,6704,706,6,15848,-12512
